netH,netCharge,molW,kyleD,a_a,c_c,d_d,e_e,f_f,g_g,h_h,i_i,k_k,l_l,m_m,n_n,p_p,q_q,r_r,s_s,t_t,v_v,w_w,y_y,tiny,small,large,aliphatic,aromatic,total_charged,negative_charged,positive_charged,polar,neutral,hydrophobic,label
21,5,2231.61,0.04117647,0,0.23529412,0,0,0.05882353,0.11764706,0,0.05882353,0,0.05882353,0,0,0,0,0.29411765,0,0,0.05882353,0,0.05882353,0.35294118,0.17647059,0.41176471,0.17647059,0.11764706,0.29411765,0,0.29411765,0.29411765,0.17647059,0.47058824,antiviral_peptide
32,8,4710.5,-0.59189189,0,0.16216216,0,0.02702703,0,0.08108108,0.02702703,0.02702703,0.18918919,0.05405405,0,0.02702703,0.10810811,0.02702703,0.05405405,0,0.05405405,0.08108108,0,0.05405405,0.2972973,0.56756757,0.10810811,0.16216216,0.08108108,0.2972973,0.02702703,0.27027027,0.32432432,0.32432432,0.32432432,antiviral_peptide
31,7,4711.48,-0.59189189,0,0.16216216,0,0.05405405,0,0.08108108,0.02702703,0.02702703,0.18918919,0.05405405,0,0.02702703,0.10810811,0,0.05405405,0,0.05405405,0.08108108,0,0.05405405,0.2972973,0.56756757,0.10810811,0.16216216,0.08108108,0.32432432,0.05405405,0.27027027,0.32432432,0.32432432,0.32432432,antiviral_peptide
31,3,4012.47,-0.54516129,0.03225807,0.03225807,0.06451613,0.03225807,0.06451613,0,0.03225807,0,0.06451613,0.03225807,0.03225807,0,0.09677419,0,0.12903226,0.03225807,0.19354839,0.12903226,0,0,0.35483871,0.41935484,0.19354839,0.16129032,0.09677419,0.32258065,0.09677419,0.22580645,0.29032258,0.38709677,0.29032258,antiviral_peptide
26,-1,3799.09,-0.44516129,0.12903226,0.06451613,0.09677419,0.06451613,0,0.03225807,0,0.03225807,0.06451613,0.03225807,0,0.06451613,0.06451613,0.03225807,0.06451613,0,0.06451613,0.12903226,0,0.03225807,0.38709677,0.48387097,0.09677419,0.19354839,0.03225807,0.29032258,0.16129032,0.12903226,0.38709677,0.32258065,0.25806452,antiviral_peptide
25,2,3871.24,-0.13225807,0.06451613,0,0.03225807,0.03225807,0.06451613,0.03225807,0.03225807,0,0.06451613,0.16129032,0,0.03225807,0.06451613,0,0.06451613,0.12903226,0.09677419,0.06451613,0,0.03225807,0.35483871,0.4516129,0.16129032,0.22580645,0.12903226,0.22580645,0.06451613,0.16129032,0.22580645,0.4516129,0.29032258,antiviral_peptide
13,0,2170.34,-0.65,0,0,0,0.0625,0.1875,0.125,0,0,0,0,0,0.0625,0.0625,0,0.0625,0.0625,0.125,0,0.1875,0,0.3125,0.1875,0.4375,0,0.375,0.125,0.0625,0.0625,0.1875,0.375,0.375,antiviral_peptide
49,4,5540.26,-1.72631579,0,0,0,0.23684211,0.10526316,0,0,0,0.2631579,0.07894737,0.02631579,0.02631579,0,0.02631579,0.07894737,0.02631579,0.02631579,0.02631579,0.05263158,0,0.05263158,0.68421053,0.23684211,0.10526316,0.15789474,0.57894737,0.23684211,0.34210526,0.63157895,0.05263158,0.28947368,antiviral_peptide
48,3,5335.84,-1.20263158,0.02631579,0,0.05263158,0.05263158,0.10526316,0.05263158,0,0,0.05263158,0.07894737,0.02631579,0.05263158,0.02631579,0.13157895,0.13157895,0.05263158,0.02631579,0.02631579,0.07894737,0,0.21052632,0.44736842,0.31578947,0.10526316,0.18421053,0.28947368,0.10526316,0.18421053,0.47368421,0.18421053,0.31578947,antiviral_peptide
39,-1,4912.36,-1.16944444,0,0,0.05555556,0.08333333,0.02777778,0.05555556,0,0.11111111,0.11111111,0.05555556,0.02777778,0.08333333,0,0.22222222,0,0,0.02777778,0.02777778,0.02777778,0.05555556,0.13888889,0.72222222,0.11111111,0.19444444,0.11111111,0.25,0.13888889,0.11111111,0.55555556,0.13888889,0.27777778,antiviral_peptide
37,-1,4841.28,-1.08333333,0,0,0.05555556,0.08333333,0.02777778,0.08333333,0,0.11111111,0.11111111,0.05555556,0.02777778,0.08333333,0,0.19444444,0,0,0.02777778,0.02777778,0.02777778,0.05555556,0.16666667,0.69444444,0.11111111,0.19444444,0.11111111,0.25,0.13888889,0.11111111,0.52777778,0.16666667,0.27777778,antiviral_peptide
32,-3,4507.84,-0.83529412,0,0,0.05882353,0.08823529,0.02941177,0.08823529,0,0.11764706,0.05882353,0.05882353,0.02941177,0.11764706,0,0.14705882,0,0,0.05882353,0.02941177,0.02941177,0.05882353,0.20588235,0.64705882,0.11764706,0.20588235,0.11764706,0.20588235,0.14705882,0.05882353,0.47058824,0.20588235,0.29411765,antiviral_peptide
34,-1,4799.27,-0.78333333,0,0,0.05555556,0.08333333,0.02777778,0.08333333,0,0.13888889,0.11111111,0.05555556,0.02777778,0.08333333,0,0.13888889,0,0,0.05555556,0.02777778,0.02777778,0.05555556,0.19444444,0.66666667,0.11111111,0.22222222,0.11111111,0.25,0.13888889,0.11111111,0.47222222,0.19444444,0.30555556,antiviral_peptide
35,-3,4897.26,-0.88648649,0,0,0.05405405,0.08108108,0.02702703,0.05405405,0.02702703,0.10810811,0.05405405,0.05405405,0.02702703,0.13513514,0,0.10810811,0,0,0.08108108,0.02702703,0.05405405,0.05405405,0.18918919,0.62162162,0.13513514,0.18918919,0.16216216,0.21621622,0.13513514,0.08108108,0.43243243,0.21621622,0.2972973,antiviral_peptide
37,-1,4841.28,-1.08333333,0,0,0.05555556,0.08333333,0.02777778,0.08333333,0,0.11111111,0.11111111,0.05555556,0.02777778,0.08333333,0,0.19444444,0,0,0.02777778,0.02777778,0.02777778,0.05555556,0.16666667,0.69444444,0.11111111,0.19444444,0.11111111,0.25,0.13888889,0.11111111,0.52777778,0.16666667,0.27777778,antiviral_peptide
34,-2,4578.96,-0.93823529,0,0,0.05882353,0.08823529,0.02941177,0.05882353,0,0.11764706,0.08823529,0.05882353,0.02941177,0.11764706,0,0.14705882,0,0,0.05882353,0.02941177,0.02941177,0.05882353,0.17647059,0.67647059,0.11764706,0.20588235,0.11764706,0.23529412,0.14705882,0.08823529,0.5,0.17647059,0.29411765,antiviral_peptide
40,0,4877.36,-1.24166667,0,0,0.05555556,0.08333333,0.02777778,0.05555556,0,0.11111111,0.13888889,0.05555556,0.02777778,0.08333333,0,0.22222222,0,0,0.02777778,0.02777778,0.02777778,0.02777778,0.13888889,0.75,0.08333333,0.19444444,0.08333333,0.27777778,0.13888889,0.13888889,0.58333333,0.11111111,0.27777778,antiviral_peptide
38,-1,4936.43,-1.16944444,0,0,0.08333333,0.08333333,0.02777778,0.05555556,0,0.11111111,0.13888889,0.05555556,0.02777778,0.05555556,0,0.19444444,0,0,0.02777778,0.02777778,0.05555556,0.02777778,0.16666667,0.69444444,0.11111111,0.19444444,0.11111111,0.30555556,0.16666667,0.13888889,0.55555556,0.11111111,0.30555556,antiviral_peptide
34,-1,4536.93,-1.09411765,0,0,0.05882353,0.08823529,0.02941177,0.08823529,0,0.08823529,0.11764706,0.05882353,0.02941177,0.08823529,0,0.14705882,0,0,0.05882353,0.02941177,0.02941177,0.05882353,0.20588235,0.64705882,0.11764706,0.17647059,0.11764706,0.26470588,0.14705882,0.11764706,0.5,0.20588235,0.26470588,antiviral_peptide
36,-3,4924.29,-0.98888889,0,0,0.05555556,0.08333333,0.02777778,0.05555556,0.02777778,0.11111111,0.05555556,0.05555556,0.02777778,0.13888889,0,0.13888889,0,0,0.05555556,0.02777778,0.05555556,0.05555556,0.16666667,0.66666667,0.13888889,0.19444444,0.16666667,0.22222222,0.13888889,0.08333333,0.47222222,0.19444444,0.30555556,antiviral_peptide
40,1,4911.42,-1.18055556,0,0,0.05555556,0.05555556,0.02777778,0.05555556,0,0.11111111,0.13888889,0.05555556,0.02777778,0.08333333,0,0.22222222,0,0,0.02777778,0.02777778,0.02777778,0.05555556,0.13888889,0.72222222,0.11111111,0.19444444,0.11111111,0.25,0.11111111,0.13888889,0.55555556,0.13888889,0.27777778,antiviral_peptide
40,1,4911.42,-1.18055556,0,0,0.05555556,0.05555556,0.02777778,0.05555556,0,0.11111111,0.13888889,0.05555556,0.02777778,0.08333333,0,0.22222222,0,0,0.02777778,0.02777778,0.02777778,0.05555556,0.13888889,0.72222222,0.11111111,0.19444444,0.11111111,0.25,0.11111111,0.13888889,0.55555556,0.13888889,0.27777778,antiviral_peptide
9,0,2288.5,0.50476191,0.19047619,0,0,0,0,0.19047619,0.04761905,0.04761905,0,0.04761905,0.04761905,0,0,0.0952381,0,0,0.14285714,0.0952381,0,0.04761905,0.52380952,0.38095238,0.04761905,0.19047619,0.0952381,0.04761905,0,0.04761905,0.0952381,0.61904762,0.23809524,antiviral_peptide
21,2,2633.74,-0.76521739,0.04347826,0.13043478,0,0,0,0.08695652,0,0,0.04347826,0,0.04347826,0.13043478,0.04347826,0,0.04347826,0.26086957,0.08695652,0,0,0.04347826,0.60869565,0.26086957,0.08695652,0,0.04347826,0.08695652,0,0.08695652,0.2173913,0.56521739,0.17391304,antiviral_peptide
16,1,2590.86,-0.32857143,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
15,1,2586.87,-0.37142857,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.04761905,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
16,1,2574.82,-0.58571429,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.04761905,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.0952381,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.42857143,0.23809524,antiviral_peptide
14,1,2573.87,-0.23809524,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.23809524,0.42857143,0.28571429,antiviral_peptide
12,0,2531.79,-0.19047619,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0,0,0.0952381,0,0.0952381,0,0.38095238,0.42857143,0.14285714,0.14285714,0.14285714,0.19047619,0.0952381,0.0952381,0.23809524,0.42857143,0.28571429,antiviral_peptide
16,1,2574.82,-0.61904762,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.0952381,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.42857143,0.23809524,antiviral_peptide
15,1,2586.87,-0.37142857,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.04761905,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
16,1,2574.82,-0.58571429,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.04761905,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.0952381,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.42857143,0.23809524,antiviral_peptide
14,0,2559.8,-0.21904762,0.14285714,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.04761905,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.14285714,0.14285714,0.19047619,0.0952381,0.0952381,0.23809524,0.42857143,0.28571429,antiviral_peptide
16,1,2630.92,-0.38571429,0.14285714,0,0,0.0952381,0.04761905,0.0952381,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
16,1,2616.9,-0.49047619,0.0952381,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
16,1,2540.8,-0.53809524,0.14285714,0,0,0.0952381,0,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.42857143,0.14285714,0.14285714,0.0952381,0.23809524,0.0952381,0.14285714,0.28571429,0.42857143,0.23809524,antiviral_peptide
16,1,2616.9,-0.49047619,0.0952381,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
15,2,2558.86,-0.23809524,0.14285714,0,0,0.04761905,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.14285714,0.14285714,0.19047619,0.04761905,0.14285714,0.23809524,0.42857143,0.28571429,antiviral_peptide
16,1,2616.9,-0.49047619,0.0952381,0,0,0.0952381,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.33333333,0.42857143,0.19047619,0.14285714,0.14285714,0.23809524,0.0952381,0.14285714,0.28571429,0.38095238,0.28571429,antiviral_peptide
27,5,2862.28,-0.7,0.0952381,0.04761905,0,0.04761905,0.04761905,0.04761905,0,0.0952381,0.0952381,0.04761905,0,0,0,0.04761905,0.19047619,0,0.0952381,0,0.0952381,0,0.28571429,0.33333333,0.33333333,0.14285714,0.14285714,0.33333333,0.04761905,0.28571429,0.38095238,0.23809524,0.33333333,antiviral_peptide
15,2,2558.86,-0.23809524,0.14285714,0,0,0.04761905,0.04761905,0.14285714,0,0.04761905,0.0952381,0.0952381,0,0.04761905,0.04761905,0,0.04761905,0,0.0952381,0,0.0952381,0,0.38095238,0.38095238,0.19047619,0.14285714,0.14285714,0.19047619,0.04761905,0.14285714,0.23809524,0.42857143,0.28571429,antiviral_peptide
5,0,2416.72,1.48695652,0.26086957,0,0,0,0,0.13043478,0.04347826,0.08695652,0,0.13043478,0.04347826,0,0,0,0,0.04347826,0.13043478,0.08695652,0,0,0.56521739,0.39130435,0,0.30434783,0.04347826,0.04347826,0,0.04347826,0,0.60869565,0.34782609,antiviral_peptide
11,-1,2662.03,0.32857143,0.14285714,0,0,0.14285714,0.0952381,0.04761905,0,0.04761905,0.0952381,0.0952381,0.0952381,0,0,0.04761905,0,0,0.04761905,0.04761905,0,0.04761905,0.23809524,0.57142857,0.14285714,0.19047619,0.14285714,0.23809524,0.14285714,0.0952381,0.28571429,0.28571429,0.38095238,antiviral_peptide
7,1,2351.73,0.99047619,0,0,0,0,0,0.28571429,0,0.19047619,0.04761905,0.23809524,0,0.04761905,0.04761905,0.04761905,0,0,0,0,0,0.04761905,0.28571429,0.61904762,0.04761905,0.42857143,0.04761905,0.04761905,0,0.04761905,0.14285714,0.38095238,0.42857143,antiviral_peptide
10,0,1627.81,0.1,0.15384615,0,0,0.07692308,0,0.07692308,0,0.07692308,0,0.15384615,0,0.07692308,0,0,0.07692308,0,0.07692308,0,0.15384615,0,0.30769231,0.38461539,0.23076923,0.23076923,0.15384615,0.15384615,0.07692308,0.07692308,0.23076923,0.30769231,0.38461539,antiviral_peptide
